game,source,source_url,draw_number,draw_date,draw_day,main_draw_label,jackpot_amount,main_1,main_2,main_3,main_4,main_5,main_6,bonus_number,extra_number,secondary_numbers,secondary_ball_result
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3627,3627,2018-10-24,Wednesday,MAIN DRAW,5000000.00,4,11,19,23,24,34,20,5286957,47732311-03,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3628,3628,2018-10-27,Saturday,MAIN DRAW,5000000.00,10,18,21,29,35,37,24,2003128,49420773-01;08971572-01;09031593-01;29066413-01;29148141-01;29207685-01;29409377-01;30263229-01;47596833-01;47915857-01;48405345-01;48535105-03;48813267-02;48849566-01;49100529-08;49358346-01;49372877-01;49506058-01;49520174-02;49691744-02;64717289-01;66645165-10;68411194-01;71405210-01;72661090-01;97769663-04,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3629,3629,2018-10-31,Wednesday,MAIN DRAW,7000000.00,4,9,11,15,25,27,5,3698736,47559907-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3630,3630,2018-11-03,Saturday,MAIN DRAW,9656932.00,7,8,24,32,42,48,45,5126211,68559302-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3631,3631,2018-11-07,Wednesday,MAIN DRAW,5000000.00,2,10,13,16,31,43,8,1298974,10221184-02,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3632,3632,2018-11-10,Saturday,MAIN DRAW,5000000.00,6,9,16,20,31,41,49,5574890,10390161-06,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3633,3633,2018-11-14,Wednesday,MAIN DRAW,7000000.00,5,10,20,23,35,42,44,6988920,55103641-03,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3634,3634,2018-11-17,Saturday,MAIN DRAW,9335208.20,5,17,18,34,44,45,27,3321499,39597325-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3635,3635,2018-11-21,Wednesday,MAIN DRAW,12427969.80,2,10,13,25,40,42,38,2470175,57225338-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3636,3636,2018-11-24,Saturday,MAIN DRAW,16367441.80,9,10,23,37,45,49,18,1745425,11628363-01;11322793-01;11634140-08;11678717-02;11889954-02;11932664-01;12013319-01;12013486-01;23063913-02;23186161-02;23359865-01;23448221-01;23476109-02;23491221-01;23554129-01;23620489-01;24139373-02;24617965-04;56005870-02;57252327-03;57447566-02;57496980-03;57743148-01;58004818-01;58165271-01;58243157-01;58274924-01;58294488-01;58346749-06;58487453-08;58498976-01;58561856-01;58688007-01;58890826-02;58894308-01;58978931-01;59139512-02;60006122-01;63245657-01;64079457-01;64120801-01;68932129-06;68978712-01;70024580-02;70391856-02;71009676-01;74144777-01;76075533-01;99415623-01;99681484-01;99699298-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3637,3637,2018-11-28,Wednesday,MAIN DRAW,19813534.10,3,17,21,29,47,49,7,6157528,10183568-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3638,3638,2018-12-01,Saturday,MAIN DRAW,5000000.00,10,14,16,27,33,47,30,1319176,65811996-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3639,3639,2018-12-05,Wednesday,MAIN DRAW,7000000.00,11,13,18,23,26,46,12,3041022,42185737-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3640,3640,2018-12-08,Saturday,MAIN DRAW,9211505.40,4,13,25,33,41,49,1,4936575,43560990-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3641,3641,2018-12-12,Wednesday,MAIN DRAW,12273982.50,10,13,23,27,31,42,17,3401334,44674088-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3642,3642,2018-12-15,Saturday,MAIN DRAW,15871973.40,11,12,22,36,46,47,7,3921421,44524647-10,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3643,3643,2018-12-19,Wednesday,MAIN DRAW,5000000.00,1,9,31,32,34,45,5,4435574,40333927-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3644,3644,2018-12-22,Saturday,MAIN DRAW,7000000.00,11,16,17,22,25,33,40,2995135,37499473-02;38325929-01;47742836-01;48579540-01;81634554-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3645,3645,2018-12-26,Wednesday,MAIN DRAW,9767181.50,2,14,27,36,38,48,40,6894416,64504024-02,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3646,3646,2018-12-29,Saturday,MAIN DRAW,13073605.30,11,16,17,22,29,47,32,4701976,21759177-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3647,3647,2019-01-02,Wednesday,MAIN DRAW,16319280.00,13,18,19,36,37,43,49,4333466,22670269-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3648,3648,2019-01-05,Saturday,MAIN DRAW,5000000.00,4,10,38,40,45,48,43,3600157,16229161-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3649,3649,2019-01-09,Wednesday,MAIN DRAW,7000000.00,1,10,27,38,44,47,41,3626357,16513567-01,
